Valeur de réponse,Question,Profil,Pondération (1 à 4)
Playmobil ! Viens attaquons le camping car avec les pirates !,"""Si vous deviez jouer avec des enfants aujourd'hui, que choisiriez-vous ?""",Créatif,3
Lego ! Viens on va les construire en suivant le plan de montage !,"""Si vous deviez jouer avec des enfants aujourd'hui, que choisiriez-vous ?""",Créatif,2
Lego ! Viens on va construire un avion pizza !,"""Si vous deviez jouer avec des enfants aujourd'hui, que choisiriez-vous ?""",Créatif,4
Dans certaines situations (la fatigue par exemple) j'ai du mal à gérer mes émotions.,Comment gérez-vous les émotions ?,Pilote,1
Je sais gérer mes émotions mais pas forcément celles des autres.,Comment gérez-vous les émotions ?,Pilote,2
Je sais gérer mes émotions et celles des autres.,Comment gérez-vous les émotions ?,Pilote,3
Je sais gérer mes émotions et celles des autres jusqu'à prévenir les moments de tension.,Comment gérez-vous les émotions ?,Pilote,4
Haha ! Je ne les gère pas !,Comment gérez-vous les émotions ?,Pilote,0
Pour bien travailler j'ai besoin que l'on me confie une tâche claire pour une date précise.,"""Dans le cadre d'un travail d'équipe, préférez-vous être la personne à qui on attribue une tâche claire et planifiée ou celle qui s'assure de la maîtrise du temps et des délais ?""",Pilote,1
Je suis à l'aise avec le fait de travailler sur une tâche qui peut dépendre du travail de quelqu'un d'autre.,"""Dans le cadre d'un travail d'équipe, préférez-vous être la personne à qui on attribue une tâche claire et planifiée ou celle qui s'assure de la maîtrise du temps et des délais ?""",Pilote,2
J'aime travailler sur une mission de groupe sans date précise parfois même dans l'urgence.,"""Dans le cadre d'un travail d'équipe, préférez-vous être la personne à qui on attribue une tâche claire et planifiée ou celle qui s'assure de la maîtrise du temps et des délais ?""",Pilote,3
J'organise le travail de l'équipe entière tout en m'attribuant des tâches personnelles.,"""Dans le cadre d'un travail d'équipe, préférez-vous être la personne à qui on attribue une tâche claire et planifiée ou celle qui s'assure de la maîtrise du temps et des délais ?""",Pilote,4
Je ne sais pas ce que c'est je n'en ai jamais fait...,"""Dans le cadre d'un travail d'équipe, préférez-vous être la personne à qui on attribue une tâche claire et planifiée ou celle qui s'assure de la maîtrise du temps et des délais ?""",Pilote,0
J'ai déjà participé à ce genre d'ateliers mais je ne crois pas être capable d'en animer un... Peut-être avec l'aide de quelqu'un d'autre ?,Sauriez-vous animer un atelier d'idéation ?,Pilote,1
J'ai déjà participé à ce genre d'ateliers et je pense être capable d'en animer un.,Sauriez-vous animer un atelier d'idéation ?,Pilote,2
J'ai déjà animé ce genre d'ateliers je peux tout à fait le refaire !,Sauriez-vous animer un atelier d'idéation ?,Pilote,4
Le design thinking n'a pas de secret pour moi ! Je peux adapter le dispositif à toute situation grâce à mon expérience.,Sauriez-vous animer un atelier d'idéation ?,Pilote,5
J'ai du mal à identifier les compétences des personnes avec qui je travaille.,Sauriez-vous animer un atelier d'idéation ?,Pilote,0
Je suis capable d'identifier rapidement les compétences techniques des personnes avec qui je travaille.,Savez-vous identifier les compétences de vos collaborateurs ?,Pilote,2
Je sais identifier les compétences techniques et comportementales des personnes avec qui je travaille.,Savez-vous identifier les compétences de vos collaborateurs ?,Pilote,3
Je sais évaluer rapidement la complémentarité des compétences de mes collaborateurs.,Savez-vous identifier les compétences de vos collaborateurs ?,Pilote,4
Avec un peu de temps sans doute !,Savez-vous identifier les compétences de vos collaborateurs ?,Pilote,1
Je tranche pour ne pas perdre de temps.,"""Si plusieurs idées divergentes émergent de vos collaborateurs, êtes-vous plutôt du genre à trancher ou à fédérer les idées ?""",Pilote,1
Je rédige une proposition alternative qui pourrait faire consensus.,"""Si plusieurs idées divergentes émergent de vos collaborateurs, êtes-vous plutôt du genre à trancher ou à fédérer les idées ?""",Pilote,2
Je tente de faire discuter l'équipe en vue d'un consensus.,"""Si plusieurs idées divergentes émergent de vos collaborateurs, êtes-vous plutôt du genre à trancher ou à fédérer les idées ?""",Pilote,3
J'organise un brainstorming avec l'équipe pour dégager une idée qui dépasse les propositions individuelles.,"""Si plusieurs idées divergentes émergent de vos collaborateurs, êtes-vous plutôt du genre à trancher ou à fédérer les idées ?""",Pilote,4
Qu'ils se débrouillent !,"""Si plusieurs idées divergentes émergent de vos collaborateurs, êtes-vous plutôt du genre à trancher ou à fédérer les idées ?""",Pilote,0
"Pas du tout, je n'en connais aucun.","""Connaissez-vous les différents types de documents publiés par les institutions gouvernementales destinées aux professionnels de santé afin de favoriser la qualité, la standardisation et la prise en charge des soins ?""",Expert document santé,0
"Vaguement, je dois en connaître un ou deux mais pas précisément.","""Connaissez-vous les différents types de documents publiés par les institutions gouvernementales destinées aux professionnels de santé afin de favoriser la qualité, la standardisation et la prise en charge des soins ?""",Expert document santé,1
"J'ai l'habitude de travailler avec ce type de document, comme les recommandations de bonne pratique ou les avis de la Commission de la Transparence.","""Connaissez-vous les différents types de documents publiés par les institutions gouvernementales destinées aux professionnels de santé afin de favoriser la qualité, la standardisation et la prise en charge des soins ?""",Expert document santé,2
"Je connais l'ensemble des documents produits par la HAS, l'ANSM, l'INCa et les autres agences.","""Connaissez-vous les différents types de documents publiés par les institutions gouvernementales destinées aux professionnels de santé afin de favoriser la qualité, la standardisation et la prise en charge des soins ?""",Expert document santé,3
"Je suis moi-même producteur de ce type de document au sein d'une agence, ces documents n'ont aucun secret pour moi.","""Connaissez-vous les différents types de documents publiés par les institutions gouvernementales destinées aux professionnels de santé afin de favoriser la qualité, la standardisation et la prise en charge des soins ?""",Expert document santé,4
"Pas du tout, je n'ai jamais fait ça.",Êtes-vous à l'aise pour rechercher les informations de référence nécessaires aux soins d'un patient présentant une situation clinique donnée ?,Expert document santé,0
"J'utilise un moteur de recherche généraliste, comme Google, quand j'ai une question.",Êtes-vous à l'aise pour rechercher les informations de référence nécessaires aux soins d'un patient présentant une situation clinique donnée ?,Expert document santé,1
Il m'arrive d'aller directement sur le site de la HAS ou de l'INCa pour cherche une information.,Êtes-vous à l'aise pour rechercher les informations de référence nécessaires aux soins d'un patient présentant une situation clinique donnée ?,Expert document santé,2
J'ai les moteurs de recherche de la HAS et de l'INCa en marque-page dans mon navigateur !,Êtes-vous à l'aise pour rechercher les informations de référence nécessaires aux soins d'un patient présentant une situation clinique donnée ?,Expert document santé,3
J’ai déjà directement contribué ou dirigé l’élaboration de ce type de document,Êtes-vous à l'aise pour rechercher les informations de référence nécessaires aux soins d'un patient présentant une situation clinique donnée ?,Expert document santé,4
"Non, et je ne sais même pas ce que signifie un ""produit de santé"".",Êtes-vous à l'aise pour rechercher les informations nécessaires à l'utilisation en situation de soin ou au remboursement d'un produit de santé ?,Expert document santé,0
"J'utilise un moteur de recherche généraliste, comme Google, quand j'ai une question.",Êtes-vous à l'aise pour rechercher les informations nécessaires à l'utilisation en situation de soin ou au remboursement d'un produit de santé ?,Expert document santé,1
"Il m'arrive d'aller sur le site ameli.fr, ou celui de la HAS, pour savoir si un dispositif médical ou un médicament est remboursé.",Êtes-vous à l'aise pour rechercher les informations nécessaires à l'utilisation en situation de soin ou au remboursement d'un produit de santé ?,Expert document santé,2
J'ai mis en place un système de veille qui me permet d'avoir en permanence les documents les plus récents à disposition.,Êtes-vous à l'aise pour rechercher les informations nécessaires à l'utilisation en situation de soin ou au remboursement d'un produit de santé ?,Expert document santé,3
J’ai déjà été expert ou en relecture à l’occasion de l’élaboration de type de document,Êtes-vous à l'aise pour rechercher les informations nécessaires à l'utilisation en situation de soin ou au remboursement d'un produit de santé ?,Expert document santé,4
"Ah, il y a des évaluations des médicaments ?","""Êtes-vous familier de l'évaluation des produits de santé, des essais thérapeutiques, de l'evidence based medicine ?""",Expert document santé,0
J'ai déjà entendu parler des essais thérapeutiques et de la médecine basée sur les preuves.,"""Êtes-vous familier de l'évaluation des produits de santé, des essais thérapeutiques, de l'evidence based medicine ?""",Expert document santé,1
Je lis régulièrement les documents de la HAS sur l'évaluation économique de certains médicaments.,"""Êtes-vous familier de l'évaluation des produits de santé, des essais thérapeutiques, de l'evidence based medicine ?""",Expert document santé,2
J'ai déjà participé à des essais thérapeutiques.,"""Êtes-vous familier de l'évaluation des produits de santé, des essais thérapeutiques, de l'evidence based medicine ?""",Expert document santé,3
Je connais le guideline sur les Bonnes Pratiques Cliniques du CIH sur le bout des doigts !,"""Êtes-vous familier de l'évaluation des produits de santé, des essais thérapeutiques, de l'evidence based medicine ?""",Expert document santé,4
Pas du tout !,Sauriez-vous conseiller de façon générale sur les stratégies de recherche documentaire et sur les stratégies de recherche au sein d'un document de référence en santé ?,Expert document santé,0
Je lis rarement des documents médicaux de référence.,Sauriez-vous conseiller de façon générale sur les stratégies de recherche documentaire et sur les stratégies de recherche au sein d'un document de référence en santé ?,Expert document santé,1
"En tant qu'utilisateur de documents médicaux de référence, je fais part aux personnes en charge de la recherche documentaire de mes besoins.",Sauriez-vous conseiller de façon générale sur les stratégies de recherche documentaire et sur les stratégies de recherche au sein d'un document de référence en santé ?,Expert document santé,2
J’assume ou j’ai assumé la recherche documentaire pour l’élaboration d’un protocole de soins ou pour la constitution d’un livret thérapeutique,Sauriez-vous conseiller de façon générale sur les stratégies de recherche documentaire et sur les stratégies de recherche au sein d'un document de référence en santé ?,Expert document santé,3
"Je suis ou j’ai été une personne de référence d’un établissement, d’une administration, d’une société savante ou d’un ordre professionnel pour la recherche de documents médicaux de référence",Sauriez-vous conseiller de façon générale sur les stratégies de recherche documentaire et sur les stratégies de recherche au sein d'un document de référence en santé ?,Expert document santé,4
Je suis un expert de l’automatisation !,Avez-vous des connaissances dans des langages d’automatisations et de manipulation de données ? (Python / R / Autres),Développeur,4
Je travaille régulièrement avec ce type de langages.,Avez-vous des connaissances dans des langages d’automatisations et de manipulation de données ? (Python / R / Autres),Développeur,3
J’ai des connaissances basiques.,Avez-vous des connaissances dans des langages d’automatisations et de manipulation de données ? (Python / R / Autres),Développeur,2
J’ai déjà rapidement touché à ce type de langages.,Avez-vous des connaissances dans des langages d’automatisations et de manipulation de données ? (Python / R / Autres),Développeur,1
Je n’y connais rien !,Avez-vous des connaissances dans des langages d’automatisations et de manipulation de données ? (Python / R / Autres),Développeur,0
Les diagrammes c’est mon quotidien !,Êtes vous capable de produire une représentation schématique d’un outil et de ses données ?,Développeur,4
Je maîtrise les outils nécessaires (Component Diagrams / Diagramme UML / Autres).,Êtes vous capable de produire une représentation schématique d’un outil et de ses données ?,Développeur,3
J’ai déjà dû en produire ponctuellement par le passé.,Êtes vous capable de produire une représentation schématique d’un outil et de ses données ?,Développeur,2
"Je n’ai jamais été amené à produire de tels schémas, mais j'en ai déjà entendu parler.",Êtes vous capable de produire une représentation schématique d’un outil et de ses données ?,Développeur,1
Je ne comprends pas ce dont il s'agit !,Êtes vous capable de produire une représentation schématique d’un outil et de ses données ?,Développeur,0
Je ne sais pas comment fonctionne une API.,Savez-vous utiliser une API et requêter des données de manière ponctuelle ou régulière ?,Développeur,1
Je sais ce qu'est une API mais je ne sais pas rédiger une requête.,Savez-vous utiliser une API et requêter des données de manière ponctuelle ou régulière ?,Développeur,2
Je sais rédiger une requête simple.,Savez-vous utiliser une API et requêter des données de manière ponctuelle ou régulière ?,Développeur,3
Je crée des connexions via API très régulièrement.,Savez-vous utiliser une API et requêter des données de manière ponctuelle ou régulière ?,Développeur,4
Je ne sais pas ce qu'est une API.,Savez-vous utiliser une API et requêter des données de manière ponctuelle ou régulière ?,Développeur,0
Je ne connais aucun langage de développement.,"""Savez-vous créer un prototype de programme ? (requête et transformation de données en visualisation, en page web...)""",Développeur,0
Il m'est arrivé de faire du HTML/CSS pour des sites web.,"""Savez-vous créer un prototype de programme ? (requête et transformation de données en visualisation, en page web...)""",Développeur,2
J'arrive à me débrouiller sur un langage (C++ C# PHP Python javascript...).,"""Savez-vous créer un prototype de programme ? (requête et transformation de données en visualisation, en page web...)""",Développeur,3
"C'est mon métier, je maîtrise parfaitement au moins un langage de développement.","""Savez-vous créer un prototype de programme ? (requête et transformation de données en visualisation, en page web...)""",Développeur,4
Je sais automatiser des processus avec des langages de blocs (comme Scratch) ou des outils comme Zapier IFTT ou Integromat. Ça compte ?,"""Savez-vous créer un prototype de programme ? (requête et transformation de données en visualisation, en page web...)""",Développeur,1
"Les standards IEEE,  les observeurs ou encore les médiateurs n’ont aucun secret pour moi !",Avez-vous déjà entendu parler de « Génie Logiciel » ou de « Patron de conception » ?,Développeur,4
Oui ce sont des concepts que je connais et que j’essaye d’appliquer à mes projets !,Avez-vous déjà entendu parler de « Génie Logiciel » ou de « Patron de conception » ?,Développeur,3
Je connais ces concepts mais je n’ai jamais eu l’occasion de les utiliser.,Avez-vous déjà entendu parler de « Génie Logiciel » ou de « Patron de conception » ?,Développeur,2
J’ai une petite idée de ce que cela peut être.,Avez-vous déjà entendu parler de « Génie Logiciel » ou de « Patron de conception » ?,Développeur,1
Génie quoi ?,Avez-vous déjà entendu parler de « Génie Logiciel » ou de « Patron de conception » ?,Développeur,0
"Classifier des documents ? Si ça veut dire ranger des livres par ordre alphabétique, alors oui !",Savez-vous faire de la classification de documents ?,Expert TAL,0
Je sais classer des documents en utilisant une interface d'annotation. ,Savez-vous faire de la classification de documents ?,Expert TAL,1
"Je sais faire du traitement par lot, en écrivant des règles déterministes de classement.",Savez-vous faire de la classification de documents ?,Expert TAL,2
Je sais utiliser un système de classification déjà entraîné.,Savez-vous faire de la classification de documents ?,Expert TAL,3
Je sais ré-entraîner un système de classification.,Savez-vous faire de la classification de documents ?,Expert TAL,4
De l'extraction de quoi ?,Savez-vous faire de l'extraction d'entités nommées ?,Expert TAL,0
Je sais repérer des mentions d'entités en utilisant une interface d'annotation.,Savez-vous faire de l'extraction d'entités nommées ?,Expert TAL,1
Je sais écrire des expressions régulières pour retrouver des mentions d'entités.,Savez-vous faire de l'extraction d'entités nommées ?,Expert TAL,2
Je sais utiliser un système de reconnaissance d'entités nommées (NER).,Savez-vous faire de l'extraction d'entités nommées ?,Expert TAL,3
Je sais ré-entraîner un système de reconnaissance d'entités nommées (NER).,Savez-vous faire de l'extraction d'entités nommées ?,Expert TAL,4
"Des vecteurs de mots ? C'est pas de la géométrie, ça ?","""Êtes-vous à l'aise avec les représentations vectorielles des mots, des phrases et des documents (word/sentence/document embeddings) ?""",Expert TAL,0
Je sais que j'ai déjà utilisé des systèmes qui exploitent ces représentations et je comprends l'idée générale.,"""Êtes-vous à l'aise avec les représentations vectorielles des mots, des phrases et des documents (word/sentence/document embeddings) ?""",Expert TAL,1
Je sais utiliser des représentations vectorielles de mots pour réaliser une ou plusieurs tâches.,"""Êtes-vous à l'aise avec les représentations vectorielles des mots, des phrases et des documents (word/sentence/document embeddings) ?""",Expert TAL,2
Je connais les principaux types de représentations vectorielles et je sais utiliser la ressource la plus pertinente pour une tâche donnée.,"""Êtes-vous à l'aise avec les représentations vectorielles des mots, des phrases et des documents (word/sentence/document embeddings) ?""",Expert TAL,3
"J'entraîne des représentations vectorielles de mots/phrases/documents tous les jours, je connais les meilleures valeurs de seed, le nombre et la largeur des couches.","""Êtes-vous à l'aise avec les représentations vectorielles des mots, des phrases et des documents (word/sentence/document embeddings) ?""",Expert TAL,4
"Je fais tout de tête, j'ai une excellente mémoire.",Savez-vous retrouver des textes similaires ?,Expert TAL,0
Je sais utiliser des outils d'indexation ou de similarité textuelle.,Savez-vous retrouver des textes similaires ?,Expert TAL,1
J'utilise des méthodes de lexicométrie pour fouiller un corpus de documents.,Savez-vous retrouver des textes similaires ?,Expert TAL,2
Je développe mes propres outils avec les méthodes de similarité de texte et les ressources habituelles.,Savez-vous retrouver des textes similaires ?,Expert TAL,3
Mes représentations de documents et mes calculs de distance entre documents sont à l'état de l'art.,Savez-vous retrouver des textes similaires ?,Expert TAL,4
Terminaux logiques ?,Êtes-vous à l'aise avec des ressources terminologiques ?,Expert TAL,0
Je sais utiliser des lexiques et des dictionnaires pour repérer des termes dans des corpus de documents.,Êtes-vous à l'aise avec des ressources terminologiques ?,Expert TAL,1
Je sais exploiter les principales terminologies des domaines métier sur lesquels je travaille.,Êtes-vous à l'aise avec des ressources terminologiques ?,Expert TAL,2
Je développe une application qui fait appel à un serveur multi-terminologies.,Êtes-vous à l'aise avec des ressources terminologiques ?,Expert TAL,3
"Je maintiens, je traduis ou j'aligne des terminologies et des référentiels métier.",Êtes-vous à l'aise avec des ressources terminologiques ?,Expert TAL,4
